epoch,train_loss,train_acc,val_loss,val_acc
1,4.279433129882812,0.0494,3.999634873580933,0.0873
2,3.9850009643554687,0.084525,3.8359958923339845,0.1094
3,3.83172119140625,0.109375,3.6524634384155275,0.1382
4,3.7059318969726562,0.13125,3.560716884994507,0.1508
5,3.606001675415039,0.14765,3.4846870464324953,0.1668
6,3.5344157470703124,0.1598,3.388521754074097,0.1819
7,3.468271716308594,0.171575,3.310376276397705,0.1977
8,3.4249857849121095,0.17695,3.294189868545532,0.206
9,3.3740598922729492,0.18775,3.2512093563079834,0.2085
10,3.3418355728149414,0.191225,3.2227450408935545,0.2174
11,3.304564874267578,0.201325,3.1765788776397703,0.2215
12,3.279260481262207,0.204825,3.219414654159546,0.2138
13,3.249864720916748,0.208275,3.1163172550201415,0.2337
14,3.2154913543701173,0.215025,3.135134720993042,0.2301
15,3.1914699226379395,0.220925,3.083463677597046,0.24
16,3.1700666385650633,0.2245,3.076685548400879,0.2428
17,3.1448883270263672,0.22805,3.0684931159973146,0.2494
18,3.130376049041748,0.23045,3.032420324707031,0.2535
19,3.0940757110595705,0.23725,3.005387713241577,0.2596
20,3.0740179588317873,0.24105,2.9889738677978515,0.2591
21,3.056232956314087,0.246625,3.0042966815948486,0.2592
22,3.032526082229614,0.2509,2.9896199462890625,0.2612
23,3.0113852243423462,0.253025,2.950284357070923,0.2721
24,2.995835606765747,0.258475,2.9536613204956055,0.2668
25,2.9792562129974365,0.261125,2.931810127258301,0.2741
26,2.954137597465515,0.261675,2.925819543457031,0.2727
27,2.9454306434631348,0.266925,2.899139264297485,0.2795
28,2.9244929193496705,0.27155,2.8705714698791502,0.2788
29,2.9064471912384033,0.2721,2.856180266571045,0.2873
30,2.879501104927063,0.282,2.837314018249512,0.2894
31,2.8672241277694703,0.28055,2.866807738494873,0.286
32,2.8525611213684083,0.284775,2.811927194595337,0.2921
33,2.830173017501831,0.28785,2.8283781585693357,0.2937
34,2.8184610710144042,0.29095,2.7984067836761475,0.2949
35,2.8026895486831664,0.296,2.769067162322998,0.3025
36,2.7863259147644044,0.30085,2.763184139251709,0.3057
37,2.7729507484436033,0.300675,2.7704799182891846,0.3032
38,2.7612126502990724,0.299725,2.7346108032226564,0.3119
39,2.751087906074524,0.303275,2.7468629985809327,0.3138
40,2.730010711479187,0.308475,2.728179054260254,0.3147
41,2.716920774269104,0.312275,2.7250914047241213,0.3122
42,2.706065364265442,0.315075,2.7242663042068482,0.316
43,2.688160327529907,0.318175,2.72427218208313,0.3152
44,2.6768372804641722,0.318725,2.6812512619018554,0.3269
45,2.665200630378723,0.3225,2.699575485801697,0.3226
46,2.647360300445557,0.32375,2.6344324729919433,0.3371
47,2.638849186325073,0.3266,2.6446080062866213,0.3361
48,2.6229691244125366,0.330125,2.64666781539917,0.3301
49,2.6141121522903443,0.328625,2.6326369232177735,0.3371
50,2.602002180290222,0.332125,2.643198275375366,0.3295
51,2.58741253490448,0.337325,2.6491698944091797,0.3364
52,2.5795477184295654,0.338475,2.635834720993042,0.3392
53,2.564800883483887,0.34125,2.6184633350372315,0.3425
54,2.549880710887909,0.3447,2.6198106830596926,0.3453
55,2.538312363243103,0.34685,2.6026335388183592,0.3465
56,2.5303086404800417,0.349975,2.6220245262145996,0.3383
57,2.516716280078888,0.3516,2.585767308807373,0.3464
58,2.5016694848060608,0.352375,2.6100909927368163,0.3376
59,2.4987393634796145,0.356275,2.5997705612182616,0.3449
60,2.484584206008911,0.3573,2.555700549697876,0.3483
61,2.4679886852264405,0.3615,2.568121406173706,0.3498
62,2.4639510576248167,0.360825,2.55730591545105,0.3533
63,2.4487392740249634,0.36405,2.5565336994171144,0.355
64,2.4411269327163696,0.36575,2.5207619607925413,0.3627
65,2.430145683097839,0.3684,2.5571787502288816,0.3526
66,2.417810330963135,0.3715,2.558539824295044,0.3571
67,2.4092950993537903,0.371325,2.5214333053588867,0.3621
68,2.3997823409080503,0.373225,2.5430624113082887,0.3623
69,2.389194323730469,0.37705,2.5363061248779295,0.3619
70,2.3752560134887695,0.379325,2.5166622831344605,0.3637
71,2.365604112625122,0.38295,2.5266286315917967,0.365
72,2.360395163154602,0.384325,2.479709226226807,0.3717
73,2.3470204307556153,0.385825,2.506148837661743,0.3674
74,2.338398624801636,0.388225,2.508531053161621,0.3685
75,2.3200807033538817,0.39095,2.4728246463775636,0.3735
76,2.320692844867706,0.389925,2.5329677082061766,0.3638
77,2.304803361034393,0.395675,2.4812609062194824,0.3743
78,2.3019563265800476,0.393825,2.462911864089966,0.379
