epoch,train_loss,train_acc,val_loss,val_acc
84,2.233692373085022,0.4096,1.9257141595450453,0.4747
85,2.2641120695114134,0.4012,1.9475459542137366,0.472
204,1.3639446768283845,0.5997,1.1042966577001274,0.7118
85,2.231770644378662,0.409525,1.9077012485589464,0.4833
86,2.2427063358306887,0.40545,1.9502877461643646,0.4727
205,1.35432218375206,0.6017,1.0852321598666925,0.7148
86,2.2151943073272706,0.414575,1.8933863719812216,0.4901
87,2.232955014705658,0.408725,1.9238342374277573,0.4796
206,1.3572158456802368,0.601725,1.0996311234589964,0.7174
87,2.2092168222427366,0.415225,1.9012178670103177,0.4859
88,2.230314125919342,0.405825,1.8969394438944684,0.4876
207,1.3439363271713256,0.604525,1.0860908096209883,0.712
88,2.1967292818069457,0.41555,1.8601800923149425,0.4954
89,2.219753016662598,0.412325,1.9078043569772007,0.4858
89,2.1861183663368227,0.41865,1.8638075929099378,0.4893
208,1.3412218012809753,0.605775,1.0680578840426362,0.7198
90,2.202730997657776,0.4155,1.922744925791463,0.4853
90,2.1731026683807375,0.41935,1.8864057071673603,0.4932
209,1.3428045186042785,0.607375,1.0611408363801602,0.7221
91,2.1984689560890196,0.41595,1.8838003546285171,0.4895
91,2.1725098081588747,0.4229,1.8490471493321867,0.494
92,2.1908128664016724,0.415775,1.8614818459501663,0.4941
210,1.341321987724304,0.6054,1.0601229941883026,0.7226
92,2.1613247035980225,0.421975,1.8361983055504747,0.5019
93,2.1842165682792665,0.418625,1.8721350602829419,0.4935
211,1.3251937535762788,0.61195,1.061567794924346,0.719
93,2.1515555581092833,0.42445,1.8496136604406583,0.4997
94,2.1706722113609316,0.4222,1.8581750128215875,0.5002
212,1.3243531433582305,0.6084,1.0652627425071912,0.7235
94,2.1335669257164,0.428925,1.8090541903584147,0.5125
95,2.153980195903778,0.42555,1.879902581056467,0.4911
213,1.3178788553237915,0.613125,1.0393637597751313,0.7299
95,2.1152936270713805,0.431775,1.8216827970724137,0.5032
96,2.1498047454833986,0.42385,1.838574815101136,0.502
214,1.3001145034313202,0.617025,1.0433253744920603,0.7279
96,2.1112164269447327,0.432925,1.795814831797688,0.5098
97,2.141978303146362,0.425575,1.878670469640543,0.4946
215,1.3046401023864747,0.614725,1.0761652440308762,0.7205
97,2.1096465529441835,0.4334,1.8219343172475553,0.5076
98,2.1362705721855164,0.427075,1.8237197941865404,0.5058
216,1.3052323535442352,0.6139,1.0350316369209807,0.7304
98,2.100892168712616,0.432275,1.751824827049487,0.5221
99,2.1266016545295714,0.427325,1.819482300037774,0.5052
217,1.2921819649219513,0.6167,1.0215674078883454,0.7378
99,2.0985203904151915,0.436175,1.7576967175014484,0.5234
100,2.117422149181366,0.43145,1.8081940955247362,0.5079
100,2.0851144366264345,0.4412,1.7804830007659742,0.5169
218,1.2943501886844635,0.618225,1.0244613306019634,0.7392
101,2.0716041608810425,0.44145,1.7466719161969024,0.525
219,1.2903601240634919,0.618775,0.9952872281257337,0.7471
102,2.066898996067047,0.44295,1.757654657379126,0.5221
220,1.2688542599201202,0.6263,1.0146495743681447,0.7373
103,2.056379934692383,0.445525,1.7259154110289991,0.5306
221,1.2723530215740204,0.6243,1.0208939626194036,0.7335
104,2.0398194081306458,0.44665,1.698844535663105,0.5372
222,1.271292556142807,0.622775,1.0441622155162091,0.7295
105,2.0461737254142762,0.44625,1.7442643271086695,0.5222
223,1.2700011522769927,0.62215,1.011362605677626,0.7367
106,2.035086740398407,0.4499,1.6934723844543433,0.5337
224,1.2622282551765442,0.627425,1.0043553699510166,0.7448
107,2.0264728378295898,0.4482,1.6935133084702416,0.5385
225,1.2624805446624756,0.626425,1.016648533245245,0.738
108,2.012484770488739,0.455625,1.699760094618264,0.535
226,1.2617824649810792,0.627325,0.9854021417066312,0.7475
109,2.012175207042694,0.4525,1.7029556845323728,0.5358
227,1.2617800941467285,0.63015,0.9909199636203413,0.7444
